ID,Name,Address,Latitude,Longitude,City,Pincode,State
1,Coffe Branch -VITTAL MALLYA ROAD,"Grant Rd, KG Halli, Shanthala Nagar, Sampangi Rama Nagar, Bengaluru, Karnataka 560001",12.9715,77.59551,Bengaluru,560001,Karnataka
2,"Coffe Branch -J.P. NAGAR, PHASE 2","299-288, Dr Puneeth Rajkumar Rd, Jeewan Griha Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",12.90624,77.5911,Bengaluru,560078,Karnataka
3,Coffe Branch -KAMMANAHALI,"2nd A Cross Rd, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",13.0179,77.6426,Bengaluru,560043,Karnataka
4,Coffe Branch -SALARPURIA,"No 410, Ground Floor, 1st C Main Rd, 7th Block, Bengaluru, Karnataka 560095",12.93515,77.61289,Bengaluru,560095,Karnataka
5,Coffe Branch -Mahadevapura,"Whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048",12.99568,77.69513,Bengaluru,560048,Karnataka
6,Coffe Branch -Rajajinagar,"Subramanyanagar,2 State, Rajajinagar, Bengaluru, Karnataka 560055",13.01107,77.55552,Bengaluru,560055,Karnataka
7,Coffe Branch -Shanthala Nagar,"Grant Rd, KG Halli, Shanthala Nagar, Sampangi Rama Nagar, Bengaluru, Karnataka 560001",12.97162,77.59533,Bengaluru,560001,Karnataka
8,Coffe Branch -INDIRANAGAR,"100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",12.96545,77.64159,Bengaluru,560008,Karnataka
9,"Coffe Branch -J.P. NAGAR, PHASE 5","1st Main Rd, Jeewan Griha Colony, J P Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078",12.90598,77.59392,Bengaluru,560078,Karnataka
10,Coffe Branch -Shanthala Nagar,"Sunshine Plaza, Church St, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",12.97451,77.60729,Bengaluru,560001,Karnataka
11,Coffe Branch -SADASHIV NAGAR,"32, 8th Main Rd, Raj Mahal Vilas Extension, Armane Nagar, Bengaluru, Karnataka 560080",13.00919,77.58016,Bengaluru,560080,Karnataka
12,Coffe Branch -VEGA MALL,"Dr Puneeth Rajkumar Rd, Dollar Layout, Stage 2, BTM Layout, Bengaluru, Karnataka 560078",12.90837,77.60042,Bengaluru,560078,Karnataka
13,Coffe Branch -Haridevpur,"Cobalt, Museum Rd, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",12.97554,77.60262,Bengaluru,560001,Karnataka
14,Coffe Branch -Whitefield,"Shantiniketan, 1st Floor, Tower B,Prestige, ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560048",12.99115,77.72974,Bengaluru,560048,Karnataka
15,Coffe Branch -UKN MIRAYA ROSE,"Ground Floor, Logitech park - 1, Whitefield, Bengaluru, 560066",12.96982,77.74989,Bengaluru,560066,Karnataka
16,Coffe Branch -KORAMANGALA,"115, Koramangala 80 Feet Rd, 7th Block, Adugodi, Bengaluru, Karnataka 560095",12.93506,77.61343,Bengaluru,560095,Karnataka
17,Coffe Branch -PRITECH PARK,"Pritech Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103",12.92367,77.68154,Bengaluru,560103,Karnataka
18,Coffe Branch -Sadanandanagar,"Rmz Infinity Clubhouse, Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038",12.99406,77.66076,Bengaluru,560038,Karnataka
19,Coffe Branch -Jai Bheema Nagar,"Bannerghatta Rd, Jai Bheema Nagar, Seshadripuram, Bengaluru, Karnataka 560003",12.99113,77.57158,Bengaluru,560003,Karnataka
20,Coffe Branch -Devasandra Industrial Estate,"B-20, 2nd Cross Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048",12.99633,77.69722,Bengaluru,560048,Karnataka
